block,algo,registers,alloc_time,alloced_instructions,original_instructions
report1.i,s,5,0m0.029s,602,64
report1.i,s,10,0m0.034s,547,64
report1.i,s,20,0m0.032s,401,64
report1.i,t,5,0m0.034s,594,64
report1.i,t,10,0m0.033s,540,64
report1.i,t,20,0m0.028s,457,64
report1.i,b,5,0m0.031s,287,64
report1.i,b,10,0m0.031s,145,64
report1.i,b,20,0m0.030s,65,64
report2.i,s,5,0m0.033s,454,62
report2.i,s,10,0m0.032s,396,62
report2.i,s,20,0m0.030s,270,62
report2.i,t,5,0m0.031s,455,62
report2.i,t,10,0m0.028s,396,62
report2.i,t,20,0m0.031s,396,62
report2.i,b,5,0m0.030s,191,62
report2.i,b,10,0m0.032s,63,62
report2.i,b,20,0m0.029s,63,62
report3.i,s,5,0m0.034s,376,52
report3.i,s,10,0m0.032s,315,52
report3.i,s,20,0m0.028s,156,52
report3.i,t,5,0m0.031s,358,52
report3.i,t,10,0m0.030s,201,52
report3.i,t,20,0m0.031s,226,52
report3.i,b,5,0m0.031s,147,52
report3.i,b,10,0m0.034s,93,52
report3.i,b,20,0m0.033s,53,52
report4.i,s,5,0m0.030s,316,46
report4.i,s,10,0m0.033s,259,46
report4.i,s,20,0m0.034s,171,46
report4.i,t,5,0m0.031s,316,46
report4.i,t,10,0m0.031s,260,46
report4.i,t,20,0m0.035s,260,46
report4.i,b,5,0m0.032s,70,46
report4.i,b,10,0m0.032s,47,46
report4.i,b,20,0m0.027s,47,46
report5.i,s,5,0m0.032s,435,49
report5.i,s,10,0m0.034s,362,49
report5.i,s,20,0m0.032s,215,49
report5.i,t,5,0m0.028s,419,49
report5.i,t,10,0m0.033s,370,49
report5.i,t,20,0m0.030s,216,49
report5.i,b,5,0m0.028s,226,49
report5.i,b,10,0m0.029s,150,49
report5.i,b,20,0m0.034s,58,49
report6.i,s,5,0m0.032s,425,52
report6.i,s,10,0m0.032s,377,52
report6.i,s,20,0m0.032s,295,52
report6.i,t,5,0m0.035s,287,52
report6.i,t,10,0m0.029s,404,52
report6.i,t,20,0m0.030s,404,52
report6.i,b,5,0m0.032s,67,52
report6.i,b,10,0m0.033s,53,52
report6.i,b,20,0m0.030s,53,52
